Prog s-T1 s-T2 a-T1 a-T2 s-m1 a-m1 s-m2 a-m2 s-m3 a-m3 s-m4 a-m4 s-m5 a-m5 s-m6 a-m6
310 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
311 7 3 1 2 10 1 10 1 8 1 8 2 8 1 10 1 
312 6 3 1 2 9 2 9 2 7 2 6 3 7 2 9 2 
313 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
314 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
315 7 3 1 2 10 1 10 1 8 1 8 2 8 1 10 1 
316 7 3 1 2 10 2 10 2 8 2 7 3 8 2 10 2 
317 7 3 1 2 10 2 10 2 8 2 8 2 8 2 10 2 
318 7 3 1 2 10 2 10 2 8 2 8 2 8 2 10 2 
319 8 3 1 2 11 1 11 1 9 1 9 2 9 1 11 1 
320 3 4 2 1 4 3 4 3 4 3 4 3 4 3 4 3 
321 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
322 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
323 4 4 1 1 6 1 6 1 6 1 6 2 6 2 6 2 
324 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
325 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
326 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
327 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
328 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
329 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
330 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
331 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
332 4 4 1 1 6 1 6 2 6 2 6 2 6 2 6 2 
333 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
334 5 4 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
335 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
336 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
337 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
338 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
339 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
340 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
341 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
342 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
343 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
344 6 4 1 1 8 1 8 1 8 1 6 2 7 2 7 2 
345 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
346 6 4 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
347 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
348 7 4 1 1 9 1 9 1 9 1 7 2 8 2 8 2 
349 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
350 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
351 8 4 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
352 3 4 2 1 7 2 6 3 4 3 4 3 4 3 6 3 
353 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
354 3 4 2 1 7 2 6 2 5 2 5 2 5 2 6 2 
355 4 4 1 1 7 1 6 1 6 1 6 2 6 2 6 2 
356 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
357 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
358 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
359 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
360 3 4 2 1 7 2 7 2 5 2 5 2 5 2 7 2 
361 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
362 4 4 1 1 8 1 8 1 6 1 6 1 6 1 8 1 
363 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
364 4 4 1 1 8 1 8 2 6 2 6 2 6 2 8 2 
365 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
366 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
367 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
368 3 4 2 1 7 2 7 2 7 2 4 3 6 3 6 3 
369 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
370 3 4 2 1 7 2 7 2 7 2 5 2 7 2 7 2 
371 4 4 1 1 8 1 8 1 8 1 6 2 8 2 8 2 
372 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
373 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
374 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
375 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
376 6 4 1 1 10 1 10 1 8 1 6 2 7 2 9 2 
377 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
378 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
379 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
380 7 4 1 1 11 1 11 1 9 1 7 2 8 2 10 2 
381 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
382 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
383 8 4 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
384 3 4 2 1 4 3 4 3 4 3 4 3 4 3 4 3 
385 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
386 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
387 4 4 1 1 6 1 6 1 6 1 6 2 6 2 6 2 
388 3 4 2 1 5 2 5 2 5 2 5 2 5 2 5 2 
389 4 4 1 1 6 1 6 1 6 1 6 1 6 1 6 1 
